quarter,level_1,level_2,level_3,value
1984-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2326
1984-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1247.9
1984-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,215.4
1984-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,110.6
1984-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1358.8
1984-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1118.5
1984-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,364.2
1984-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,250.8
1984-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1174
1984-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,914.9
1984-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1113.2
1985-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2068.3
1985-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1159.3
1985-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,221.8
1985-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,100.8
1985-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1196.6
1985-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1129.8
1985-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,346.9
1985-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,235
1985-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1276.2
1985-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,954.1
1985-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1049.6
1985-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2107.9
1985-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1005.6
1985-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,223.9
1985-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,94.1
1985-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1154.3
1985-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1162.9
1985-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,344.1
1985-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,244.9
1985-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1281.8
1985-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,896.3
1985-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,976.6
1985-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2065.1
1985-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1000
1985-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,229.8
1985-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,95.4
1985-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1141.7
1985-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1186.6
1985-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,340.1
1985-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,240.5
1985-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1258.5
1985-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,799.4
1985-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1081.4
1985-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1971.1
1985-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,877
1985-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,208.5
1985-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,86.1
1985-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1184
1985-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1161.5
1985-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,357.6
1985-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,236.6
1985-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1244.2
1985-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,743.9
1985-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1199
1986-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1971
1986-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,855.8
1986-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,235.8
1986-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,76.1
1986-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1088.3
1986-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1091.6
1986-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,332.5
1986-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,235.1
1986-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1188.6
1986-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,861.7
1986-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1097.5
1986-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2276.6
1986-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,872.1
1986-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,293.9
1986-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,71.2
1986-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1125.1
1986-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1178
1986-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,329.7
1986-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,242.9
1986-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1173.9
1986-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,772.5
1986-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,986.6
1986-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2451.2
1986-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,722.4
1986-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,328.1
1986-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,72.9
1986-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1170.5
1986-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1201.9
1986-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,345.5
1986-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,236.9
1986-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1230.8
1986-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,775.5
1986-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1017.6
1986-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2541.3
1986-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,685.2
1986-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,305.2
1986-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,73
1986-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1271
1986-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1214.3
1986-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,359.5
1986-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,258.3
1986-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1236.3
1986-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,920.9
1986-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1215.5
1987-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2306.8
1987-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,695.5
1987-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,264.7
1987-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,63.6
1987-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1119.6
1987-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1204.1
1987-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,341
1987-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,245
1987-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1323.8
1987-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,875.1
1987-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1147.2
1987-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2655.3
1987-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,742.3
1987-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,253.7
1987-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,63.1
1987-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1300.7
1987-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1237.8
1987-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,351.1
1987-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,275.1
1987-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1463.3
1987-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,766.6
1987-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1057.8
1987-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2932.7
1987-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,728.6
1987-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,254
1987-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,62.5
1987-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1350.5
1987-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1332.2
1987-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,376.2
1987-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,288.1
1987-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1577.3
1987-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,808.1
1987-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1049.4
1987-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,3069.4
1987-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,669.8
1987-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,273.7
1987-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,61.6
1987-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1463.8
1987-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1405
1987-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,402.8
1987-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,297
1987-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1469.1
1987-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1012.9
1987-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1311.6
1988-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2980.7
1988-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,672.3
1988-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,289.6
1988-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,54.8
1988-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1309.3
1988-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1406
1988-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,401.3
1988-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,312.1
1988-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1412.6
1988-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1021.2
1988-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1172.1
1988-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,3454.5
1988-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,691.3
1988-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,307.6
1988-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,55.8
1988-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1545.8
1988-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1452.9
1988-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,410.3
1988-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,322.4
1988-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1531.2
1988-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1031.1
1988-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1077
1988-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,3795.4
1988-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,701.6
1988-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,323.1
1988-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,54.6
1988-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1605.2
1988-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1599.5
1988-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,436.8
1988-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,331.7
1988-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1590.9
1988-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1097.9
1988-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1167.3
1988-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,3690.2
1988-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,693.1
1988-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,328.2
1988-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,57.6
1988-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1705.6
1988-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1621
1988-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,471
1988-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,369.9
1988-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1650.9
1988-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1165.1
1988-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1677.4
1989-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,3410.3
1989-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,703.5
1989-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,311
1989-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,56.1
1989-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1306.7
1989-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1613.4
1989-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,474.4
1989-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,367.1
1989-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1612.2
1989-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1248.5
1989-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1355.2
1989-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,3889.8
1989-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,694.3
1989-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,291.7
1989-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,51.1
1989-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1750.6
1989-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1671
1989-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,491.6
1989-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,394.5
1989-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1832.9
1989-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1321.5
1989-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1280
1989-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4099.4
1989-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,752.3
1989-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,302.2
1989-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,54.1
1989-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1828.9
1989-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1809.3
1989-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,547.5
1989-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,393.7
1989-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1812.4
1989-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1456.6
1989-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1438.2
1989-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4096.7
1989-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,810.4
1989-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,311.8
1989-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,56.9
1989-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1862.8
1989-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1869.9
1989-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,587.4
1989-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,429
1989-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,1866.3
1989-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1465.6
1989-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1817.9
1990-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,3796.6
1990-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,747.8
1990-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,303.6
1990-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,57.4
1990-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2122.7
1990-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1843.8
1990-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,578.4
1990-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,425.5
1990-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2199.3
1990-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1554.8
1990-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1454.9
1990-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4221.6
1990-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,761
1990-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,344.4
1990-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,54.2
1990-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2119.7
1990-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1864.4
1990-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,574.9
1990-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,439.2
1990-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2258.1
1990-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1642.1
1990-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1427.5
1990-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4576.5
1990-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,792.4
1990-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,361.9
1990-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,55
1990-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2106.1
1990-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1919.3
1990-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,591.5
1990-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,455.8
1990-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2376.7
1990-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1698.2
1990-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1660.8
1990-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4606.8
1990-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,920.8
1990-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,312.2
1990-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,61.4
1990-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2313.2
1990-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1989.7
1990-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,628.2
1990-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,487.4
1990-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2346.3
1990-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1749.1
1990-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,2017.3
1991-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4826.6
1991-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,951.6
1991-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,303.7
1991-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,48.7
1991-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2362
1991-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,1949.2
1991-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,562
1991-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,480.6
1991-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2251.8
1991-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1770.3
1991-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1637.2
1991-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4955.4
1991-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,939.9
1991-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,344
1991-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,50
1991-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2404.5
1991-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2164.2
1991-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,601.5
1991-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,529.7
1991-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2220.6
1991-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1842.2
1991-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1603
1991-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,5169.7
1991-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1096.5
1991-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,371.4
